from,to,w
13,2646,1.2015304143085062
13,2660,1.096713534763286
13,2677,1.0215793061842595
13,2723,1
13,2738,1.025187627476768
13,2762,1.0215793061842595
13,2781,1.0829710642129702
13,2789,1
13,2801,1
13,2823,1.0465472072474327
13,2845,1.0258951674211114
13,2846,1.1056821478581809
13,2912,1.1520316980436636
13,2913,1
13,2956,1.089423593379545
13,2957,1.1173931977279785
13,3003,1.1021596190528848
13,3004,1.0107896530921296
13,3036,1.0730622479752514
13,3079,1.2999058131964536
13,3140,1.2878970826813985
13,3153,1.164723047883845
13,3157,1
13,3167,1.0323689592763892
13,3235,1
13,3267,1.0601204752137483
13,3281,1.1036614429370837
13,3294,1.1304964973086438
13,3299,1
13,3318,1.2373780929327403
13,3354,1.0233703582908817
13,3396,1.2197702420924421
13,3398,1.199111040839242
13,3427,1
13,3434,1.1567525350014987
13,3447,1.0184965481579367
13,3454,1.0667584828312247
13,3468,1.1244512396058828
13,3505,1.0275700173793887
13,3515,1.0215793061842595
13,3549,1.0527096976234804
13,3554,1.0269741327303243
13,3564,1.081707481495489
13,3590,1.0630501911694128
13,3602,1.0258951674211114
13,3658,1
13,3722,1
13,3757,1.1368634908647515
13,3760,1
13,3787,1.0356790791615877
13,3799,1.047908500945347
13,3807,1.2430030887533106
13,3831,1
13,3893,1.0235410612919194
13,3902,1.0215793061842595
13,3935,1.0694687237853233
13,3938,1.2232115001759518
13,3966,1.1848790070557311
13,3979,1.0655661967480987
13,3996,1.074532658099469
13,3999,1
13,4047,1.2525734786396072
13,4052,1.0540306906729755
13,4055,1
13,4058,1.0594341252375847
13,4072,1
13,4091,1.0323689592763892
13,4096,1.0235410612919194
13,4097,1.0807016825465494
13,4125,1.0127278004810918
13,4134,1.0643526861949515
13,4145,1.0323689592763892
13,4149,1.2060357503967434
13,4158,1.1285960621520537
13,4196,1
13,4213,1.014999440074899
13,4222,1
13,4225,1.0129475837105557
13,4239,1.0346198226434702
13,4258,1.1731307772734556
13,4263,1.1190854147476903
13,4277,1.1368976694290194
13,4357,1.0554044260402835
13,4434,1
13,4437,1
13,4492,1
13,4496,1.0369930963158733
13,4551,1.1485827881970967
13,4559,1.0294263266148993
13,4568,1.1264149213468955
13,4603,1.1233470254587368
13,4609,1
13,4611,1.1656931293333055
